Customer_ID,Age,Department,City,Monthly_Income,Spending_Score,Purchase_Amount
1,32,Clothing,Delhi,79205,45,18375
2,21,Furniture,Bangalore,59168,26,13131
3,21,Grocery,Delhi,117526,74,16515
4,39,Grocery,Delhi,66190,71,13204
5,57,Clothing,Bangalore,94707,34,2724
6,60,Grocery,Mumbai,97509,7,4648
7,51,Electronics,Pune,82147,35,9457
8,19,Electronics,Mumbai,105176,64,632
9,49,Electronics,Bangalore,83076,28,19745
10,43,Clothing,Pune,95789,65,9651
11,54,Clothing,Bangalore,103647,19,17709
12,37,Grocery,Delhi,77479,50,14411
13,36,Electronics,Pune,105815,43,7717
14,46,Grocery,Delhi,91665,72,13397
15,25,Clothing,Delhi,37713,84,12486
16,48,Furniture,Delhi,119492,6,16479
17,25,Furniture,Delhi,47876,55,18238
18,55,Clothing,Bangalore,43800,50,19178
19,43,Electronics,Pune,99273,97,2243
20,22,Clothing,Bangalore,74860,88,14740
21,33,Clothing,Delhi,69755,78,5336
22,39,Furniture,Delhi,55768,9,1419
23,27,Grocery,Delhi,51468,44,5858
24,41,Electronics,Pune,38351,75,3808
25,44,Electronics,Pune,89672,78,11304
26,37,Electronics,Bangalore,36528,94,8551
27,47,Furniture,Delhi,37200,37,11397
28,34,Grocery,Bangalore,90936,64,6221
29,50,Furniture,Bangalore,82046,22,8782
30,54,Electronics,Pune,86234,64,11784
31,20,Electronics,Delhi,54309,20,6397
32,37,Electronics,Mumbai,87318,49,11541
33,42,Furniture,Pune,105126,25,17828
34,60,Grocery,Bangalore,83422,95,16028
35,35,Clothing,Mumbai,87565,46,5517
36,33,Grocery,Delhi,82090,23,19698
37,30,Furniture,Pune,32083,14,16149
38,25,Clothing,Delhi,80581,74,15110
39,28,Furniture,Pune,114999,1,4570
40,46,Electronics,Pune,59140,41,13349
41,38,Grocery,Bangalore,30021,8,501
42,44,Clothing,Delhi,31500,39,1776
43,18,Clothing,Delhi,58275,34,15305
44,47,Electronics,Mumbai,100820,99,18303
45,21,Clothing,Delhi,71813,29,10860
46,49,Furniture,Pune,25531,24,17419
47,55,Grocery,Mumbai,78535,96,1058
48,18,Electronics,Delhi,72447,35,6370
49,54,Grocery,Delhi,110197,26,2416
50,53,Electronics,Bangalore,33640,34,8868
51,53,Electronics,Bangalore,33603,19,10240
52,18,Clothing,Bangalore,77082,26,8987
53,42,Electronics,Bangalore,29240,41,10275
54,43,Clothing,Pune,48471,57,12895
55,22,Grocery,Mumbai,97977,48,15816
56,53,Clothing,Mumbai,57011,36,10897
57,49,Furniture,Bangalore,29235,52,19886
58,19,Clothing,Mumbai,84933,63,1187
59,48,Grocery,Delhi,72712,51,9545
60,47,Electronics,Delhi,58896,31,3192
61,44,Electronics,Bangalore,79344,42,13090
62,36,Clothing,Bangalore,30723,79,3070
63,53,Clothing,Delhi,36645,38,9979
64,47,Electronics,Delhi,74091,6,16871
65,49,Electronics,Mumbai,67277,51,19272
66,30,Electronics,Pune,102996,28,5402
67,56,Furniture,Bangalore,61754,29,12372
68,40,Clothing,Bangalore,119721,19,19493
69,18,Grocery,Delhi,48650,10,19539
70,49,Furniture,Mumbai,52510,62,10679
71,59,Clothing,Mumbai,113140,40,10000
72,49,Electronics,Mumbai,52665,18,16128
73,44,Grocery,Mumbai,56387,32,7672
74,22,Clothing,Mumbai,34849,46,12905
75,18,Grocery,Pune,63040,32,15626
76,23,Grocery,Bangalore,58808,79,4597
77,53,Furniture,Bangalore,114168,95,4494
78,39,Electronics,Bangalore,103373,49,14072
79,27,Furniture,Mumbai,111539,15,13719
80,49,Furniture,Mumbai,75881,41,2296
81,30,Electronics,Delhi,107410,57,18438
82,18,Grocery,Mumbai,43237,67,15821
83,55,Grocery,Bangalore,67549,44,15352
84,50,Grocery,Mumbai,103637,36,10445
85,28,Electronics,Bangalore,36147,33,5755
86,44,Clothing,Mumbai,87859,47,15233
87,42,Grocery,Delhi,80934,17,9121
88,30,Clothing,Delhi,54823,42,18737
89,18,Grocery,Delhi,94461,98,3107
90,38,Furniture,Delhi,86897,40,1493
91,23,Clothing,Bangalore,110834,2,19951
92,43,Clothing,Delhi,64426,63,13012
93,37,Electronics,Pune,49782,21,7466
94,21,Electronics,Pune,114296,28,13584
95,52,Electronics,Pune,77466,50,12405
96,30,Clothing,Bangalore,76024,23,2553
97,45,Electronics,Pune,44008,29,6671
98,19,Grocery,Mumbai,28905,51,16595
99,58,Furniture,Bangalore,20365,85,11962
100,30,Grocery,Mumbai,72112,91,16509
